Dataset,Pooling,Ablation,DNA_Model,Prot_Model,Network,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
Train1Val_ClinVarHQ,cls,bio_dna_prot,nt_v3_650m,esm1b_650m,Pure_XGBoost_Concat,0.9275,0.9744,0.8764,0.9775,0.9228,0.859,0.9863,0.9874
Train1Val_ClinVarHQ,center,bio_dna_prot,nt_v3_650m,esmc_600m,Pure_XGBoost_Concat,0.926,0.9744,0.8736,0.9775,0.9212,0.8564,0.9881,0.9885
Train1Val_ClinVarHQ,mean,bio_dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Concat_XGBoost,0.926,0.9684,0.8793,0.9718,0.9217,0.8555,0.9827,0.9835
Train1Val_ClinVarHQ,center,bio_dna_prot,nt_v3_650m,esmc_600m,Hybrid_CrossAttn_XGBoost,0.926,0.9596,0.8879,0.9634,0.9224,0.8543,0.9863,0.9865
Train1Val_ClinVarHQ,center,bio_dna_prot,nt_v3_650m,esmc_600m,Hybrid_Gating_XGBoost,0.9246,0.9712,0.8736,0.9746,0.9198,0.8533,0.9836,0.9847
Train1Val_ClinVarHQ,center,bio_dna_prot,nt_v3_650m,esmc_600m,Hybrid_Concat_XGBoost,0.9246,0.9595,0.8851,0.9634,0.9208,0.8516,0.9865,0.9864
Train1Val_ClinVarHQ,center,bio_dna_prot,nt_v3_650m,esmc_600m,Hybrid_Transformer_XGBoost,0.9232,0.9742,0.8678,0.9775,0.9179,0.8512,0.984,0.9847
Train1Val_ClinVarHQ,mean,bio_dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Gating_XGBoost,0.9232,0.9712,0.8707,0.9746,0.9182,0.8507,0.9822,0.9825
Train1Val_ClinVarHQ,cls,bio_dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Transformer_XGBoost,0.9218,0.9741,0.8649,0.9775,0.9163,0.8486,0.983,0.984
Train1Val_ClinVarHQ,mean,bio_dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Transformer_XGBoost,0.9175,0.9647,0.8649,0.969,0.9121,0.8392,0.9825,0.9836
Train1Val_ClinVarHQ,mean,bio_dna_prot,nt_v3_650m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.9175,0.9531,0.8764,0.9577,0.9132,0.8375,0.9826,0.9822
Train1Val_ClinVarHQ,mean,bio_dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Concat,0.9132,0.9705,0.8506,0.9746,0.9066,0.8325,0.9811,0.9825
Train1Val_ClinVarHQ,cls,bio_dna_prot,nt_v3_650m,esm1b_650m,Hybrid_CrossAttn_XGBoost,0.9132,0.9614,0.8592,0.9662,0.9074,0.8309,0.9812,0.9826
Train1Val_ClinVarHQ,mean,bio_dna_prot,nt_v3_650m,esm1b_650m,Pure_XGBoost_Concat,0.9118,0.9673,0.8506,0.9718,0.9052,0.8293,0.9838,0.9845
Train1Val_ClinVarHQ,center,bio_dna_prot,nt_v3_650m,esmc_600m,PyTorch_Gating,0.9104,0.9766,0.8391,0.9803,0.9026,0.8286,0.9856,0.9858
Train1Val_ClinVarHQ,cls,bio_dna_prot,nt_v3_650m,esm1b_650m,PyTorch_CrossAttn,0.9104,0.9734,0.842,0.9775,0.9029,0.828,0.9811,0.9823
Train1Val_ClinVarHQ,mean,bio_dna_prot,nt_v3_650m,esm1b_650m,PyTorch_CrossAttn,0.9104,0.9672,0.8477,0.9718,0.9035,0.8268,0.9823,0.9831
Train1Val_ClinVarHQ,center,bio_dna_geom_prot,nt_v3_650m,esmc_600m,Pure_XGBoost_Concat,0.9075,0.9896,0.8218,0.9915,0.898,0.8265,0.9814,0.9834
Train1Val_ClinVarHQ,cls,bio_dna_prot,nt_v3_650m,esm1b_650m,Hybrid_Concat_XGBoost,0.909,0.9702,0.842,0.9746,0.9015,0.8248,0.9809,0.9822
Train1Val_ClinVarHQ,mean,bio_dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Transformer,0.909,0.9641,0.8477,0.969,0.9021,0.8236,0.9782,0.9786
