Experiment,E2E_GFLOPs/Sample,E2E_Latency_ms/Sample,E2E_Total_Params,E2E_Param_Mem_MB,Max_Peak_VRAM_MB,FM_GFLOPs/Sample,FM_Latency_ms/Sample,Geom_GFLOPs/Sample,Geom_Latency_ms/Sample,Classifier_GFLOPs/Sample,Classifier_Latency_ms/Sample,Classifier_Total_Params,Classifier_Param_Mem_MB,Classifier_XGB_Model_Mem_MB,Classifier_Peak_VRAM_MB
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Concat__Train1Val_Test,231.7942,9.35,1139801633,2177.33,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Concat__Train1Val_ClinVarHQ,231.7942,9.86,1139801633,2177.33,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Concat__Train1Val_UniProt,231.7942,9.85,1139801633,2177.33,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Concat__Train1Val_ProteinGym,231.7942,9.88,1139801633,2177.33,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_CrossAttn__Train1Val_Test,231.7942,9.35,1141902881,2185.35,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_CrossAttn__Train1Val_ClinVarHQ,231.7942,9.86,1141902881,2185.35,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_CrossAttn__Train1Val_UniProt,231.7942,9.86,1141902881,2185.35,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_CrossAttn__Train1Val_ProteinGym,231.7942,9.89,1141902881,2185.35,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Transformer__Train1Val_Test,231.8026,9.37,1142955041,2189.36,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Transformer__Train1Val_ClinVarHQ,231.8026,9.89,1142955041,2189.36,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Transformer__Train1Val_UniProt,231.8026,9.87,1142955041,2189.36,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Transformer__Train1Val_ProteinGym,231.8026,9.9,1142955041,2189.36,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Gating__Train1Val_Test,231.7948,9.35,1140128801,2178.58,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Gating__Train1Val_ClinVarHQ,231.7948,9.87,1140128801,2178.58,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Gating__Train1Val_UniProt,231.7948,9.85,1140128801,2178.58,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_PyTorch_Gating__Train1Val_ProteinGym,231.7948,9.88,1140128801,2178.58,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_Pure_XGBoost_Concat__Train1Val_Test,231.7942,9.35,1139801633,2177.33,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_Pure_XGBoost_Concat__Train1Val_ClinVarHQ,231.7942,9.86,1139801633,2177.33,1961.98,,,,,,,,,,
train1__val_center_dna_prot_nt_v1_500m_esm1b_650m_Pure_XGBoost_Concat__Train1Val_UniProt,231.7942,9.85,1139801633,2177.33,1961.98,,,,,,,,,,
