Dataset,file_path,column,exists,null_count
test,D:/variant_data/test_full_seq_after_vep_final.parquet,SIFT_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,SIFT_converted_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,SIFT_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,SIFT4G_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,SIFT4G_converted_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,SIFT4G_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,Polyphen2_HDIV_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,Polyphen2_HDIV_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,Polyphen2_HDIV_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,Polyphen2_HVAR_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,Polyphen2_HVAR_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,Polyphen2_HVAR_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutationTaster_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutationTaster_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutationTaster_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaSVM_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaSVM_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaSVM_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaLR_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaLR_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaLR_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaRNN_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaRNN_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MetaRNN_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,M-CAP_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,M-CAP_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,M-CAP_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,REVEL_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,REVEL_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,REVEL_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutPred2_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutPred2_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutPred2_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MVP_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MVP_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MVP_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,gMVP_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,gMVP_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,gMVP_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MisFit_D_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MisFit_D_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MisFit_D_pred_lenient,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MPC_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MPC_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MPC_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,PrimateAI_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,PrimateAI_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,PrimateAI_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,BayesDel_addAF_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,BayesDel_addAF_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,BayesDel_addAF_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,BayesDel_noAF_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,BayesDel_noAF_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,BayesDel_noAF_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,ClinPred_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,ClinPred_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,ClinPred_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,LIST-S2_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,LIST-S2_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,LIST-S2_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,VARITY_R_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,VARITY_R_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,VARITY_R_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,VARITY_ER_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,VARITY_ER_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,VARITY_ER_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,AlphaMissense_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,AlphaMissense_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,AlphaMissense_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,PHACTboost_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,PHACTboost_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,PHACTboost_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutFormer_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutFormer_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,MutFormer_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,popEVE_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,popEVE_converted_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,popEVE_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,CADD_raw,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,CADD_raw_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,CADD_phred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,CADD_pred,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,DANN_score,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,DANN_rankscore,True,0
test,D:/variant_data/test_full_seq_after_vep_final.parquet,DANN_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,SIFT_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,SIFT_converted_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,SIFT_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,SIFT4G_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,SIFT4G_converted_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,SIFT4G_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,Polyphen2_HDIV_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,Polyphen2_HDIV_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,Polyphen2_HDIV_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,Polyphen2_HVAR_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,Polyphen2_HVAR_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,Polyphen2_HVAR_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MutationTaster_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MutationTaster_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MutationTaster_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaSVM_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaSVM_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaSVM_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaLR_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaLR_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaLR_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaRNN_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaRNN_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MetaRNN_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,M-CAP_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,M-CAP_rankscore,True,0
