Dataset,Network,Ablation,Pooling,DNA_Model,Prot_Model,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
test,SOTA_SIFT,sota,N/A,N/A,N/A,0.8254,0.6228,0.9083,0.7945,0.739,0.6393,0.9248,0.7815
test,SOTA_SIFT4G,sota,N/A,N/A,N/A,0.851,0.6855,0.8359,0.8567,0.7533,0.6546,0.9217,0.7775
test,SOTA_Polyphen2_HDIV,sota,N/A,N/A,N/A,0.8241,0.6187,0.921,0.7879,0.7402,0.6427,0.9232,0.766
test,SOTA_Polyphen2_HVAR,sota,N/A,N/A,N/A,0.8591,0.6868,0.886,0.849,0.7738,0.6853,0.937,0.8218
test,SOTA_MutationTaster,sota,N/A,N/A,N/A,0.9554,0.8902,0.9536,0.9561,0.9208,0.8908,0.98,0.9509
test,SOTA_MetaSVM,sota,N/A,N/A,N/A,0.8966,0.806,0.8166,0.9265,0.8113,0.7401,0.9374,0.8816
test,SOTA_MetaLR,sota,N/A,N/A,N/A,0.8761,0.7541,0.8082,0.9015,0.7802,0.6949,0.9371,0.8724
test,SOTA_MetaRNN,sota,N/A,N/A,N/A,0.9286,0.8053,0.9729,0.9121,0.8812,0.8384,0.9854,0.9652
test,SOTA_M-CAP,sota,N/A,N/A,N/A,0.7601,0.5329,0.9566,0.6867,0.6845,0.5727,0.9384,0.8452
test,SOTA_REVEL,sota,N/A,N/A,N/A,0.9263,0.86,0.8709,0.947,0.8654,0.8148,0.9691,0.9305
test,SOTA_MutPred2,sota,N/A,N/A,N/A,0.8896,0.739,0.9186,0.8787,0.819,0.75,0.9594,0.8881
test,SOTA_MVP,sota,N/A,N/A,N/A,0.883,0.7437,0.8697,0.888,0.8018,0.724,0.9514,0.8945
test,SOTA_gMVP,sota,N/A,N/A,N/A,0.8448,0.6425,0.968,0.7987,0.7724,0.6938,0.9663,0.9268
test,SOTA_MisFit_D,sota,N/A,N/A,N/A,0.8574,0.682,0.8914,0.8447,0.7728,0.6844,0.9414,0.8722
test,SOTA_MPC,sota,N/A,N/A,N/A,0.8044,0.8963,0.3179,0.9863,0.4693,0.4584,0.8888,0.7546
test,SOTA_PrimateAI,sota,N/A,N/A,N/A,0.8215,0.7833,0.4753,0.9509,0.5916,0.5108,0.8964,0.7453
test,SOTA_BayesDel_addAF,sota,N/A,N/A,N/A,0.9422,0.8855,0.9047,0.9563,0.895,0.8553,0.9817,0.9554
test,SOTA_BayesDel_noAF,sota,N/A,N/A,N/A,0.913,0.8109,0.8872,0.9227,0.8474,0.7883,0.968,0.9226
test,SOTA_ClinPred,sota,N/A,N/A,N/A,0.9288,0.8164,0.9524,0.92,0.8792,0.8341,0.9826,0.9508
test,SOTA_LIST-S2,sota,N/A,N/A,N/A,0.8123,0.606,0.886,0.7848,0.7197,0.6099,0.9066,0.7748
test,SOTA_VARITY_R,sota,N/A,N/A,N/A,0.9203,0.8443,0.8667,0.9403,0.8554,0.8005,0.9687,0.9244
test,SOTA_VARITY_ER,sota,N/A,N/A,N/A,0.9142,0.8731,0.801,0.9565,0.8355,0.7789,0.9645,0.9124
test,SOTA_AlphaMissense,sota,N/A,N/A,N/A,0.9173,0.8206,0.8908,0.9272,0.8543,0.798,0.9683,0.9229
test,SOTA_PHACTboost,sota,N/A,N/A,N/A,0.9227,0.7919,0.971,0.9047,0.8724,0.8265,0.9801,0.9425
test,SOTA_MutFormer,sota,N/A,N/A,N/A,0.8771,0.7839,0.7569,0.922,0.7702,0.6865,0.9295,0.8552
